"","id","PC","DE","QD","LE","TY","SP","FF","JF","CN"
"247",1,3277,"P-ţa Arcul de Triumf","+",0.38456,"TR",22.83,37.9,3.4582,0.99
"248",1,3277,"P-ţa Arcul de Triumf","-",0.06443,"TR",12.73,30.9,4.69053,0.97
"249",1,8007,"Strada Mr. Gheorghe Şonţu","-",0.31972,"TR",31.63,40,1.16741,0.79
"250",1,8008,"Strada Emanoil Porumbaru","-",0.1412,"TR",10.84,40,8.54094,0.85
"251",1,3278,"P-ţa Charles de Gaulle","-",0.26935,"TR",19.19,31.2,3.34604,0.93
"252",1,3283,"P-ţa Corneliu Coposu","+",0.01813,"TR",8.25,31,7.93289,0.86
"253",1,3282,"Bulevardul Mircea Vodă","+",0.04402,"TR",8.66,29.2,5.43656,0.88
"254",1,8048,"Strada Matei Basarab","+",0.17365,"TR",9.73,37.3,7.14159,0.95
"255",1,8047,"Strada Sfânta Mina","+",0.12974,"TR",5.51,36.6,9.27462,0.97
"256",1,3281,"Strada Sfanta Vineri","+",0.11857,"TR",5.24,26.4,8.98259,0.99
"257",1,8046,"Strada Bărăţiei","+",0.08444,"TR",11.96,31.9,5.58063,0.86
"258",1,3280,"Bulevardul I. C. Brătianu","+",0.24442,"TR",10.19,29.7,5.14159,0.86
"259",1,3280,"Bulevardul I. C. Brătianu","-",0.03564,"TR",38.18,35,5.43656,0.87
"260",1,8046,"Strada Bărăţiei","-",0.19677,"TR",13.33,35.8,5.86558,0.87
"261",1,3281,"Strada Sfanta Vineri","-",0.08444,"TR",13.65,29.5,3.78665,0.87
"262",1,8047,"Strada Sfânta Mina","-",0.11857,"TR",14.59,36,5.14427,0.86
"263",1,8048,"Strada Matei Basarab","-",0.12974,"TR",14.18,33.5,3.14159,0.89
"264",1,3282,"Bulevardul Mircea Vodă","-",0.20769,"TR",12.1,30.7,5.07093,0.86
"265",1,3283,"P-ţa Corneliu Coposu","-",0.0272,"TR",9.95,29,3.14159,0.86
"266",1,3295,"P-ţa E. Hurmuzachi","+",0.04137,"TR",23.57,33.2,1.73615,0.94
"267",1,7800,"Strada Ţiglina","+",0.18492,"TR",24.72,40,2.6695,0.93
"268",1,7799,"Strada Voroneţ","+",0.1123,"TR",34.56,40,0.52959,0.91
"269",1,7798,"Strada Dristorului","+",0.2679,"TR",24.64,33.7,1.56302,0.95
"270",1,7797,"Strada Păunescu Paltin","+",0.17535,"TR",27.36,38.9,1.90864,0.96
"271",1,3294,"P-ţa Alba Iulia","+",0.41233,"TR",22.83,37.6,3.41606,0.99
"272",1,3294,"P-ţa Alba Iulia","-",0.17284,"TR",31.89,37.8,1.36049,0.91
"273",1,7797,"Strada Păunescu Paltin","-",0.19993,"TR",28.8,38.7,1.55117,0.87
"274",1,7798,"Strada Dristorului","-",0.17535,"TR",26.11,35.7,1.60466,0.86
